data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-21+19_31_30,-65,-87,-85,28,28,15,27.99585635,17589,728,1612237,0,0,0.01748408
2021-06-21+19_31_31,-65,-86,-85,28,28,15,27.96092362,13668,567,1252603,0,0,0.007263219
2021-06-21+19_31_32,-65,-84,-85,28,28,15,27.99298246,13784,575,1263230,0,0,0.016692824
2021-06-21+19_31_33,-65,-95,-85,28,28,15,27.98255814,12544,521,1149301,0,0,0.005943419
2021-06-21+19_31_34,-65,-91,-85,28,28,15,28,13252,552,1214430,0,0,0.005627673
2021-06-21+19_31_35,-65,-90,-85,28,28,15,27.9844479,15612,647,1430712,0,0,0.008950676
2021-06-21+19_31_36,-65,-87,-85,28,28,15,27.99656947,14145,587,1296446,0,0,0.011046634
2021-06-21+19_31_38,-65,-87,-85,28,28,15,27.98150289,20959,867,1921339,0,0,0.012950928
2021-06-21+19_31_39,-65,-86,-85,28,28,15,27.98041475,21136,868,1938051,0,0,0.007046885
2021-06-21+19_31_40,-65,-87,-85,28,28,15,28,17122,707,1569871,0,0,0.017219607
2021-06-21+19_31_41,-65,-85,-85,28,28,15,28,21025,866,1927754,0,0,0.012910798
2021-06-21+19_31_42,-65,-85,-85,28,28,15,27.99299475,13830,575,1267459,0,0,0.002955807
2021-06-21+19_31_43,-65,-95,-85,28,28,15,28,4780,206,437170,0,0,0.015447992
2021-06-21+19_31_44,-65,-95,-85,28,28,15,27.99544419,10627,444,973544,0,0,0.026653233
2021-06-21+19_31_45,-65,-87,-85,28,28,15,27.88697318,12614,527,1155332,0,0,0.005910631
2021-06-21+19_31_46,-65,-88,-85,28,28,15,27.99785867,11396,471,1044261,0,0,0.010849753
2021-06-21+19_31_47,-65,-85,-85,28,28,15,27.96834264,13005,542,1191602,0,0,0.014474083
2021-06-21+19_31_48,-65,-86,-85,28,28,15,28,12519,520,1147237,0,0,0.007924558
2021-06-21+19_31_49,-65,-87,-85,28,28,15,27.99773243,10659,446,976651,0,0,0.022916858
2021-06-21+19_31_50,-65,-87,-85,28,28,15,27.98839907,10437,437,955857,0,0,0.009490367
2021-06-21+19_31_51,-65,-94,-85,28,28,15,27.86062718,6911,293,632111,0,0,0.003604383
2021-06-21+19_31_52,-65,-95,-85,28,28,15,28,11347,472,1039731,0,0,0.012273677
2021-06-21+19_31_53,-65,-87,-85,28,28,15,27.99787686,11497,476,1053337,0,0,0.00862292
2021-06-21+19_31_54,-65,-96,-85,28,28,15,27.92105263,882,46,79414,0,0,0
2021-06-21+19_31_55,-65,-91,-85,28,28,15,27.94128114,13596,567,1245498,0,0,0.008459743
2021-06-21+19_31_56,-65,-84,-85,28,28,15,27.93383743,12816,533,1174267,0,0,0.024063357
2021-06-21+19_31_57,-65,-86,-85,28,28,15,28,10979,455,1005919,0,0,0.026598103
2021-06-21+19_31_58,-65,-88,-85,28,28,15,27.99455041,8878,373,813038,0,0,0.007379249
2021-06-21+19_31_59,-65,-88,-85,28,28,15,27.99778271,10943,456,1002683,0,0,0.006807043
2021-06-21+19_32_00,-65,-86,-85,28,28,15,27.99823944,13776,572,1262634,0,0,0.009918068
2021-06-21+19_32_01,-65,-87,-85,28,28,15,27.99516908,15108,624,1384899,0,0,0.006575487
2021-06-21+19_32_02,-65,-87,-85,28,28,15,27.98550725,15043,625,1378507,0,0,0.000132935
2021-06-21+19_32_03,-65,-96,-85,28,28,15,28,12960,538,1187635,0,0,0.009552923
2021-06-21+19_32_04,-65,-91,-85,28,28,15,27.9847619,12734,528,1167094,0,0,0.009720818
2021-06-21+19_32_05,-65,-84,-85,28,28,15,27.99792531,11738,486,1075636,0,0,0.016753225
2021-06-21+19_32_06,-65,-96,-85,28,28,15,27.93333333,11263,471,1031434,0,0,0.023072253
2021-06-21+19_32_07,-65,-87,-85,28,28,15,28,11648,481,1067431,0,0,0.010617515
2021-06-21+19_32_08,-65,-86,-85,28,28,15,27.953125,12437,516,1139743,0,0,0.015826541
2021-06-21+19_32_09,-65,-87,-85,28,28,15,27.99438202,12959,539,1187437,0,0,0.013324197
2021-06-21+19_32_11,-65,-86,-85,28,28,15,27.99267399,13252,551,1214264,0,0,0.020329711
2021-06-21+19_32_12,-66,-95,-85,28,28,15,27.99443414,13072,543,1198051,0,0,0.015069319
2021-06-21+19_32_13,-66,-96,-85,28,28,15,27.95700935,12989,539,1190306,0,0,0.012618776
2021-06-21+19_32_14,-66,-95,-85,28,28,15,27.99456522,13438,556,1231572,0,0,0.012492651
2021-06-21+19_32_15,-66,-90,-85,28,28,15,27.99474606,13853,575,1269596,0,0,0.022922838
2021-06-21+19_32_16,-66,-85,-85,28,28,15,27.99671413,22229,915,2038036,0,0,0.019842145
2021-06-21+19_32_17,-66,-86,-85,28,28,15,27.99599466,18171,751,1665997,0,0,0.017199416
2021-06-21+19_32_18,-66,-94,-85,28,28,15,27.98832685,12450,519,1140744,0,0,0.013861386
2021-06-21+19_32_19,-66,-96,-85,28,28,15,27.9844358,12450,519,1140698,0,0,0.013861386
2021-06-21+19_32_20,-66,-86,-85,28,28,15,27.99812383,12956,536,1187520,0,0,0.005755506
2021-06-21+19_32_21,-66,-87,-85,28,28,15,28,11112,462,1018163,0,0,0.011123965
2021-06-21+19_32_22,-66,-86,-85,28,28,15,28,14302,594,1310928,0,0,0.02155025
2021-06-21+19_32_23,-66,-87,-85,28,28,15,27.95010846,11132,465,1019883,0,0,0.028960223
2021-06-21+19_32_24,-66,-86,-85,28,28,15,27.97495826,14474,602,1326706,0,0,0.011946208
2021-06-21+19_32_25,-66,-85,-85,28,28,15,28,12341,511,1130810,0,0,0.013982103
2021-06-21+19_32_26,-66,-95,-85,28,28,15,28,12534,520,1148520,0,0,0.00791515
2021-06-21+19_32_27,-66,-94,-85,28,28,15,27.9960396,12265,509,1123989,0,0,0.010088781
2021-06-21+19_32_28,-66,-86,-85,28,28,15,28,13293,550,1218305,0,0,0.007466587
2021-06-21+19_32_29,-66,-91,-85,28,28,15,27.82105263,2276,104,206883,0,0,0.010864841
2021-06-21+19_32_30,-66,-95,-85,28,28,15,28,10784,450,988060,0,0,0.011458429
2021-06-21+19_32_31,-66,-88,-85,28,28,15,27.96089385,8720,363,798669,0,0,0.011786038
2021-06-21+19_32_32,-66,-95,-85,28,28,15,27.98181818,3969,173,362432,0,0,0.036416606
2021-06-21+19_32_33,-65,-95,-85,28,28,15,27.45762712,1388,66,125643,0,0,0.082617317
2021-06-21+19_32_34,-65,-94,-85,28,28,15,27.98617512,10492,439,961221,0,0,0.009441088
2021-06-21+19_32_35,-65,-90,-85,28,28,15,27.80128205,3762,164,343219,0,0,0
2021-06-21+19_32_36,-66,-86,-85,28,28,15,27.95566502,14785,613,1355008,0,0,0.01334668
2021-06-21+19_32_37,-66,-90,-85,28,28,15,28,11560,482,1059274,0,0,0.009934909
2021-06-21+19_32_38,-66,-87,-85,28,28,15,27.98768473,19686,814,1804782,0,0,0.008461771
2021-06-21+19_32_39,-66,-87,-85,28,28,15,27.99622642,12889,534,1181206,0,0,0.01150395
2021-06-21+19_32_40,-66,-89,-85,28,28,15,28,9160,384,839223,0,0,0.017167382
