data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-26+14_46_03,-70,-90,-90,28,28,15,27.98892989,13046,547,1195327,19417,4873,0.007606877
2021-06-26+14_46_04,-70,-90,-90,28,28,15,28,9940,412,910643,17955,8513,0.013986708
2021-06-26+14_46_06,-70,-90,-90,28,28,15,27.9516129,2898,131,264310,16958,2487,0.016960651
2021-06-26+14_46_07,-70,-90,-90,28,28,15,27.9168357,11899,497,1090210,17122,9913,0.022589124
2021-06-26+14_46_08,-70,-90,-90,28,28,15,27.99041534,7313,320,669723,16369,3667,0.009883563
2021-06-26+14_46_09,-70,-90,-90,28,28,15,27.91036415,8050,362,737919,19507,9428,0.023532266
2021-06-26+14_46_10,-70,-90,-90,28,28,15,28,13022,542,1193423,4379,8735,0.007091117
2021-06-26+14_46_11,-70,-90,-90,28,28,15,27.96231156,9630,404,881866,17975,4232,0.007727975
2021-06-26+14_46_12,-70,-90,-90,28,28,15,28,12523,521,1147572,19277,12755,0.017649827
2021-06-26+14_46_13,-70,-90,-90,28,28,15,28,12493,518,1144944,20141,48,0.017691461
2021-06-26+14_46_14,-70,-90,-90,28,28,15,27.99180328,11777,494,1078949,18335,8457,0.030140822
2021-06-26+14_46_15,-70,-90,-90,28,28,15,27.98169935,18624,767,1707393,22145,4925,0.009309006
2021-06-26+14_46_16,-70,-90,-90,28,28,15,27.99870968,18882,777,1731073,22259,4398,0.019473438
2021-06-26+14_46_17,-70,-90,-90,28,28,15,28,11961,499,1096060,17088,5954,0.021995094
2021-06-26+14_46_18,-70,-90,-90,28,28,15,27.99204771,12195,507,1117510,15455,7680,0.021032351
2021-06-26+14_46_19,-70,-89,-90,28,28,15,27.77857143,13352,565,1222577,19032,3209,0.017874218
2021-06-26+14_46_20,-70,-91,-90,28,28,15,27.99416342,12454,519,1141039,21145,8923,0.019756002
2021-06-26+14_46_21,-70,-89,-90,28,28,15,27.99809886,12706,530,1164586,19212,11907,0.023741836
2021-06-26+14_46_22,-70,-89,-90,28,28,15,27.99342105,11127,461,1019309,21518,11535,0.019820296
2021-06-26+14_46_23,-70,-91,-90,28,28,15,27.8559322,2808,126,255906,17719,9835,0.018524991
2021-06-26+14_46_24,-70,-90,-90,28,28,15,28,19342,797,1773415,20323,13839,0.017174797
2021-06-26+14_46_25,-70,-90,-90,28,28,15,28,16937,700,1552664,21332,72,0.008256236
2021-06-26+14_46_26,-70,-89,-90,28,28,15,27.98156682,21006,870,1925767,21004,12578,0.014080541
2021-06-26+14_46_27,-70,-89,-90,28,28,15,28,26099,1070,2393387,23658,12689,0.014164841
2021-06-26+14_46_28,-70,-91,-90,28,28,15,27.9824781,19394,801,1777993,19216,28,0.030784608
2021-06-26+14_46_29,-70,-91,-90,28,28,15,28,22521,924,2065241,20479,12827,0.018521747
2021-06-26+14_46_30,-70,-91,-90,28,28,15,27.99038462,15123,626,1386358,22037,12677,0.039870484
2021-06-26+14_46_32,-70,-95,-90,28,28,15,28,13262,556,1215331,23419,12932,0.016682732
2021-06-26+14_46_33,-70,-92,-90,28,28,15,27.99342105,11081,460,1015277,18695,8025,0.017728925
2021-06-26+14_46_34,-70,-92,-90,28,28,15,27.90740741,7795,330,713437,20386,8921,0.020482533
2021-06-26+14_46_35,-70,-94,-90,28,14,15,27.9009901,4873,210,445199,21160,11562,0.016350424
2021-06-26+14_46_36,-70,-93,-90,28,28,15,27.98464491,12624,525,1156888,21189,15739,0.024194172
2021-06-26+14_46_37,-70,-93,-90,28,28,15,28,13747,571,1259988,20639,18986,0.025726435
2021-06-26+14_46_38,-70,-93,-90,28,28,15,27.98108449,19246,794,1764629,21638,13160,0.021854035
2021-06-26+14_46_39,-70,-93,-90,28,28,15,28,14448,600,1324535,24052,13766,0.041464871
2021-06-26+14_46_40,-70,-89,-90,28,28,15,27.90824261,15426,648,1413221,22647,13043,0.013872019
2021-06-26+14_46_41,-70,-92,-90,28,28,15,27.9922179,18708,774,1714970,24863,16508,0.014019184
2021-06-26+14_46_42,-70,-95,-90,28,28,15,28,7102,299,650249,21820,16601,0.020683949
2021-06-26+14_46_43,-70,-93,-90,28,28,15,27.93181818,12725,532,1165966,23763,14414,0.016691137
2021-06-26+14_46_44,-70,-93,-90,28,28,15,27.9534413,11887,499,1088939,20540,21671,0.031056407
2021-06-26+14_46_45,-70,-94,-90,28,28,15,27.94276094,7195,303,658548,20899,19309,0.027045301
2021-06-26+14_46_46,-70,-93,-90,28,28,15,28,5154,221,471517,22219,16765,0.014154552
2021-06-26+14_46_47,-70,-93,-90,28,28,15,27.86730769,12557,524,1150019,19769,19700,0.020667603
2021-06-26+14_46_48,-70,-93,-90,28,28,15,27.98939929,20627,851,1891093,24533,18460,0.013156636
2021-06-26+14_46_49,-70,-90,-90,28,28,15,27.99863201,17751,734,1627287,22860,6411,0.020904578
2021-06-26+14_46_50,-70,-91,-90,28,28,15,27.99043977,12643,528,1158359,22147,13032,0.015572686
2021-06-26+14_46_51,-70,-90,-90,28,28,15,27.99239544,12704,530,1164293,21603,12871,0.0318549
2021-06-26+14_46_52,-70,-90,-90,28,28,15,27.98958333,11662,484,1068528,18424,5959,0.011946115
2021-06-26+14_46_53,-70,-91,-90,28,28,15,27.5443038,3721,165,339295,19190,13434,0.000537201
2021-06-26+14_46_54,-70,-91,-90,28,28,15,27.99774011,21556,886,1976451,25538,12384,0.013139221
2021-06-26+14_46_55,-70,-91,-90,28,28,15,27.98132005,19503,806,1787880,14959,12192,0.03287712
2021-06-26+14_46_58,-70,-90,-90,28,28,15,28,33139,1374,3038454,44733,22182,0.017987317
2021-06-26+14_46_59,-70,-90,-90,28,28,15,27.99730458,18056,745,1655187,22035,12603,0.011929517
2021-06-26+14_47_00,-70,-90,-90,28,28,15,27.97002725,17714,738,1623458,24156,11503,0.012542505
2021-06-26+14_47_01,-70,-90,-90,28,28,15,27.99617591,12660,528,1160042,19561,1831,0.032479939
2021-06-26+14_47_02,-70,-91,-90,28,28,15,27.95581015,14835,615,1359507,19376,13011,0.055396371
2021-06-26+14_47_03,-70,-91,-90,28,28,15,27.82828283,2382,106,216949,9844,12846,0.031313542
2021-06-26+14_47_04,-70,-92,-90,28,28,15,27.94216867,9981,421,913939,7497,10581,0.040103866
2021-06-26+14_47_05,-70,-91,-90,28,28,15,27.95977011,8490,353,777573,10492,6536,0.087685364
2021-06-26+14_47_06,-70,-91,-90,28,28,15,27.99230769,6218,266,569207,9397,11018,0.095300451
2021-06-26+14_47_07,-70,-94,-90,28,28,15,27.98550725,11750,488,1076427,4519,10881,0.054097569
2021-06-26+14_47_08,-70,-92,-90,28,28,15,27.99032258,14982,623,1373486,13620,13538,0.089959303
2021-06-26+14_47_09,-70,-90,-90,28,28,15,28,8906,372,815655,8203,17839,0.071421124
2021-06-26+14_47_10,-70,-96,-90,28,28,15,27.94257426,12222,509,1119886,6896,18677,0.116716051
2021-06-26+14_47_11,-70,-93,-90,28,28,15,27.94636015,6350,267,581112,8821,12866,0.102727144
2021-06-26+14_47_12,-70,-92,-90,28,28,15,27.98785425,5945,254,543852,10315,14407,0.033647594
2021-06-26+14_47_13,-70,-94,-90,28,28,15,27.99787234,11403,475,1044861,15604,8234,0.113779436
2021-06-26+14_47_14,-70,-91,-90,28,28,15,27.84244373,7504,316,686683,124,10244,0.062468766
2021-06-26+14_47_15,-70,-94,-90,28,28,15,27.97826087,5504,237,503515,12173,10395,0.0626703
2021-06-26+14_47_16,-70,-94,-90,28,28,15,28,12483,518,1143880,446,14633,0.064733648
2021-06-26+14_47_17,-70,-90,-90,28,28,15,28,9441,390,865003,9388,15150,0.1
2021-06-26+14_47_18,-70,-93,-90,28,28,15,27.99230769,3122,138,284877,10769,15453,0.051928333
2021-06-26+14_47_19,-70,-91,-90,28,28,15,27.99803922,12346,513,1131682,13896,15885,0.107625587
2021-06-26+14_47_21,-70,-93,-90,28,28,15,27.96354167,9347,388,856309,9568,14194,0.109724736
2021-06-26+14_47_22,-70,-93,-90,28,28,15,28,3250,144,296974,17426,15851,0.15606336
2021-06-26+14_47_23,-70,-91,-90,28,28,15,27.94366197,12102,501,1108820,6482,19449,0.100289941
2021-06-26+14_47_24,-70,-93,-90,28,28,15,26.82352941,318,26,27261,11945,19231,0.106741573
2021-06-26+14_47_26,-70,-91,-90,28,28,15,27.91764706,4126,176,377194,11127,10484,0.100893441
2021-06-26+14_47_27,-70,-92,-90,28,28,15,27.9880597,8069,341,738874,8722,11484,0.085665722
2021-06-26+14_47_28,-70,-90,-90,28,28,15,27.97089397,11732,485,1075016,13622,12505,0.081500039
2021-06-26+14_47_29,-70,-93,-90,28,28,15,27.62162162,796,46,71336,11204,13288,0.03045067
2021-06-26+14_47_30,-70,-92,-90,28,28,15,28,12703,525,1164237,1936,13353,0.101817153
2021-06-26+14_47_31,-70,-91,-90,28,28,15,20.5,24,11,414,13322,15405,0.076923077
2021-06-26+14_47_32,-70,-93,-90,28,28,15,27.99404762,12171,508,1115348,10922,13158,0.101373302
2021-06-26+14_47_34,-70,-93,-90,28,27,15,27.9048583,11902,499,1090143,15977,12195,0.063866604
2021-06-26+14_47_35,-70,-94,-90,28,14,15,26.69230769,242,21,20504,15051,8564,0.069230769
2021-06-26+14_47_36,-71,-94,-90,28,28,15,27.98624754,12354,514,1131815,16206,4439,0.131467942
2021-06-26+14_47_37,-71,-91,-90,28,28,15,27.81333333,1789,82,162701,13478,11627,0.094177215
2021-06-26+14_47_38,-71,-95,-90,28,28,15,28,10666,443,977434,15330,2688,0.115662051
2021-06-26+14_47_39,-71,-95,-90,28,28,15,27.93951613,12007,501,1099896,16815,10429,0.089896157
2021-06-26+14_47_40,-71,-95,-90,28,28,15,27.99380165,11811,489,1082045,20799,22,0.122706678
2021-06-26+14_47_41,-71,-95,-90,28,28,15,27.6119403,1428,75,129202,1112,12731,0.059907834
2021-06-26+14_47_42,-70,-95,-90,28,28,15,27.96747967,11893,496,1089851,9306,155,0.022359227
2021-06-26+14_47_43,-70,-95,-90,28,28,15,24.61538462,245,21,20679,14047,15984,0.023904382
2021-06-26+14_47_44,-71,-95,-90,28,28,15,27.96875,12399,518,1135784,17687,11866,0.044466708
2021-06-26+14_47_45,-70,-95,-90,28,28,15,27.99234694,9571,396,876793,15170,19219,0.189447832
2021-06-26+14_47_46,-70,-95,-90,28,28,15,28,8716,367,798311,17898,14152,0.082333123
2021-06-26+14_47_47,-70,-95,-90,28,28,15,28,7107,303,650841,7736,8655,0.024031859
2021-06-26+14_47_48,-70,-95,-90,28,28,15,27.96551724,12009,498,1100058,16383,13434,0.022386845
2021-06-26+14_47_49,-70,-95,-90,28,28,15,27.99038462,7490,319,685541,15367,7990,0.050095117
2021-06-26+14_47_52,-70,-95,-90,28,28,15,27.99022005,19830,828,1816724,35843,28682,0.111957009
2021-06-26+14_47_53,-70,-95,-90,28,28,15,27.95518868,10218,429,935725,19243,13302,0.052836485
2021-06-26+14_47_54,-70,-95,-90,28,28,15,27.97111913,13376,558,1225884,22407,19176,0.053160614
2021-06-26+14_47_55,-70,-95,-90,28,28,15,27.9220339,14266,594,1307278,18917,18801,0.095370958
2021-06-26+14_47_56,-70,-95,-90,28,28,15,27.99865229,18074,744,1656966,21821,15555,0.049137205
2021-06-26+14_47_57,-70,-95,-90,28,28,15,27.98354662,13267,552,1215667,17732,12281,0.089992455
2021-06-26+14_47_58,-70,-95,-90,28,28,15,27.99272727,13322,555,1220761,19033,12462,0.043715455
2021-06-26+14_47_59,-70,-95,-90,28,28,15,27.98859935,14824,617,1358737,20531,12242,0.09077527
2021-06-26+14_48_00,-71,-95,-90,28,28,15,28,13787,574,1263684,17917,12602,0.127073572
2021-06-26+14_48_01,-71,-95,-90,28,28,15,28,14382,595,1318423,21163,1693,0.084124053
2021-06-26+14_48_02,-70,-95,-90,28,28,15,27.9953775,15722,652,1441233,19615,11348,0.132148377
2021-06-26+14_48_03,-70,-95,-90,28,28,15,27.98027127,19678,812,1804201,22352,13475,0.077492851
2021-06-26+14_48_04,-70,-95,-90,28,28,15,27.97771588,17413,721,1596241,2623,12763,0.02245551
2021-06-26+14_48_05,-70,-95,-90,28,28,15,27.96695226,19819,821,1816331,24022,30,0.027001816
2021-06-26+14_48_06,-70,-95,-90,28,28,15,27.9908953,15940,661,1461365,20554,13380,0.057975297
2021-06-26+14_48_07,-70,-95,-90,28,28,15,27.99593496,17967,740,1647335,20001,12275,0.096045482
2021-06-26+14_48_08,-71,-95,-90,28,28,15,27.99393939,7949,337,727612,16462,13250,0.104741525
2021-06-26+14_48_09,-70,-95,-90,28,28,15,28,12432,518,1139458,18522,15617,0.144979367
2021-06-26+14_48_10,-70,-90,-90,28,28,15,27.99801587,12255,509,1122914,15144,12165,0.024438784
2021-06-26+14_48_11,-70,-95,-90,28,28,15,28,11562,478,1059555,18815,13027,0.012975926
2021-06-26+14_48_12,-70,-90,-90,28,28,15,28,9810,409,898801,17717,11124,0.066603235
2021-06-26+14_48_13,-70,-90,-90,28,28,15,27.9197397,11136,465,1020168,19454,346,0.108406725
2021-06-26+14_48_16,-70,-90,-90,28,28,15,27.95036194,23385,976,2142530,36115,11378,0.159598936
2021-06-26+14_48_17,-70,-90,-90,28,28,15,28,10465,435,959100,16640,14643,0.102102102
2021-06-26+14_48_18,-70,-92,-90,28,28,15,27.94206549,9640,402,882954,19293,12081,0.119232526
2021-06-26+14_48_19,-70,-92,-90,28,28,15,27.98062016,12468,521,1142124,17352,12957,0.099393239
2021-06-26+14_48_20,-70,-92,-90,28,28,15,28,28,10,971,12905,13702,0.066666667
2021-06-26+14_48_21,-70,-91,-90,28,28,15,27.99109131,10855,454,994512,16317,13269,0.065513085
2021-06-26+14_48_22,-71,-91,-90,28,28,15,27.99005964,12280,507,1125313,15975,20700,0.119965601
2021-06-26+14_48_23,-70,-91,-90,28,28,15,27.99150743,11421,476,1046347,18628,14870,0.124961692
2021-06-26+14_48_24,-70,-91,-90,28,28,15,27.99789474,11563,479,1059584,16103,7239,0.10848111
2021-06-26+14_48_25,-70,-91,-90,28,28,15,27.90881459,7895,334,722911,15364,10204,0.095336313
2021-06-26+14_48_26,-70,-91,-90,28,28,15,27.99001664,14613,605,1339296,20657,8488,0.011365943
2021-06-26+14_48_27,-70,-91,-90,28,28,15,28,14575,607,1335954,20467,12181,0.026711185
2021-06-26+14_48_28,-70,-91,-90,28,28,15,27.99554235,16374,677,1500785,21659,14056,0.004559548
2021-06-26+14_48_30,-70,-91,-90,28,28,15,28,16074,662,1473304,18475,15987,0.012289542
2021-06-26+14_48_31,-70,-91,-90,28,28,15,28,25742,1055,2360580,8522,20047,0.026988207
2021-06-26+14_48_32,-70,-91,-90,28,28,15,28,12623,525,1156737,19161,12709,0.018658167
2021-06-26+14_48_33,-70,-91,-90,28,28,15,27.89156627,8015,338,733600,15164,16509,0.022918444
2021-06-26+14_48_34,-70,-91,-90,28,28,15,27.93080725,14697,612,1346340,20067,13606,0.035376739
2021-06-26+14_48_35,-70,-91,-90,28,28,15,27.98613518,13913,581,1275142,21741,15932,0.050371988
2021-06-26+14_48_36,-70,-91,-90,28,28,15,28,12857,534,1178373,18828,13166,0.028927492
2021-06-26+14_48_37,-70,-91,-90,28,28,15,27.99807322,12515,523,1146945,17802,13976,0.011843664
2021-06-26+14_48_38,-70,-91,-90,28,28,15,27.98867925,12848,534,1177449,18214,12240,0.054042115
2021-06-26+14_48_39,-70,-91,-90,28,28,15,27.95054945,13237,552,1212413,17188,2739,0.022233713
2021-06-26+14_48_40,-70,-91,-90,28,28,15,27.98982558,16637,690,1525211,19317,9752,0.069466972
2021-06-26+14_48_43,-70,-91,-90,28,28,15,27.97245902,36850,1530,3377766,40448,26756,0.076116933
2021-06-26+14_48_44,-70,-91,-90,28,28,15,27.84301075,11170,470,1022752,15004,13416,0.084351176
2021-06-26+14_48_45,-70,-91,-90,28,28,15,27.90315789,11400,479,1044522,16755,13535,0.092645654
2021-06-26+14_48_46,-70,-91,-90,28,28,15,27.99198397,12111,504,1109659,16646,12621,0.134928571
2021-06-26+14_48_47,-70,-91,-90,28,28,15,28,12465,519,1142316,19008,659,0.064821067
2021-06-26+14_48_48,-70,-91,-90,28,28,15,27.95414847,11067,463,1013960,875,14318,0.027931489
2021-06-26+14_48_49,-70,-91,-90,28,28,15,28,15002,621,1375159,19459,12099,0.012961379
2021-06-26+14_48_50,-70,-91,-90,28,28,15,28,13641,565,1250446,19216,13582,0.011450105
2021-06-26+14_48_51,-70,-91,-90,28,28,15,28,15269,631,1399746,22115,12626,0.030970362
2021-06-26+14_48_52,-70,-91,-90,28,28,15,28,19044,785,1746111,21168,2455,0.039733764
2021-06-26+14_48_53,-70,-91,-90,28,28,15,28,10038,419,919715,18083,13751,0.016749927
2021-06-26+14_48_54,-70,-91,-90,28,28,15,27.66428571,3200,148,291750,6778,15903,0.00373599
2021-06-26+14_48_55,-70,-91,-90,28,28,15,27.99803536,12350,513,1131895,5641,23441,0.024024024
2021-06-26+14_48_56,-70,-91,-90,28,28,15,27.96052632,9231,385,845465,16203,22394,0.107771119
2021-06-26+14_48_57,-70,-91,-90,28,28,15,27.77868852,2882,129,262814,15384,22261,0.038371705
2021-06-26+14_48_58,-70,-91,-90,28,28,15,27.95899772,10665,444,976890,15362,16896,0.128676471
2021-06-26+14_48_59,-70,-91,-90,28,28,15,27.92063492,1411,72,127674,13039,13217,0.080182529
2021-06-26+14_49_00,-70,-91,-90,28,28,15,27.9020979,3482,150,317969,14150,20989,0.115345528
2021-06-26+14_49_01,-70,-91,-90,28,28,15,27.98994975,9534,404,873167,16905,11523,0.095188384
2021-06-26+14_49_02,-70,-91,-90,28,28,15,27.99802372,12235,510,1121267,18261,5313,0.040768326
2021-06-26+14_49_03,-70,-91,-90,28,28,15,27.98102467,12724,532,1165675,17785,12127,0.050943537
2021-06-26+14_49_04,-70,-91,-90,28,28,15,27.96941489,18215,755,1669673,21231,11285,0.047133291
2021-06-26+14_49_05,-70,-91,-90,28,28,15,27.96875,14697,610,1347280,17843,5246,0.114104882
2021-06-26+14_49_08,-70,-91,-90,28,28,15,27.98567708,18541,779,1698277,33358,22761,0.125713208
2021-06-26+14_49_09,-70,-91,-90,28,28,15,27.96593674,9976,416,913890,17783,12599,0.060020729
2021-06-26+14_49_10,-70,-91,-90,28,28,15,28,12769,532,1170194,18623,12650,0.104118431
2021-06-26+14_49_11,-70,-91,-90,28,28,15,28,13087,543,1199461,18539,10147,0.010808768
2021-06-26+14_49_12,-70,-91,-90,28,28,15,27.99533437,15564,646,1426716,20732,16054,0.011118877
2021-06-26+14_49_13,-70,-91,-90,28,28,15,27.97168743,21405,885,1962394,22496,5185,0.020590254
2021-06-26+14_49_14,-70,-91,-90,28,28,15,27.98926655,13402,564,1228063,22668,8309,0.01470372
2021-06-26+14_49_15,-70,-91,-90,28,28,15,28,21937,905,2011379,22523,13200,0.035693877
2021-06-26+14_49_16,-70,-91,-90,28,28,15,27.99272727,6598,282,603732,15182,12760,0.019759323
2021-06-26+14_49_17,-70,-91,-90,28,28,15,27.97376093,8302,348,760330,10387,21781,0.022489109
2021-06-26+14_49_18,-70,-91,-90,28,27,15,27.99791667,11671,485,1069394,16280,18138,0.000342612
2021-06-26+14_49_19,-70,-91,-90,28,28,15,28,13083,542,1198892,18491,12275,0.016907124
2021-06-26+14_49_20,-70,-91,-90,28,28,15,27.95053004,6873,287,629504,14873,5703,0.032653061
2021-06-26+14_49_21,-70,-91,-90,28,28,15,28,13118,545,1202199,15309,11135,0.115859001
2021-06-26+14_49_22,-70,-91,-90,28,28,15,27.97317073,9930,415,909415,19005,16710,0.072136049
2021-06-26+14_49_23,-70,-110,-90,28,28,15,27.98502994,8015,341,733552,14998,13753,0.089514938
2021-06-26+14_49_24,-70,-110,-90,28,28,15,27.95795796,8113,338,743049,14564,3780,0.173744781
2021-06-26+14_49_25,-70,-110,-90,28,28,15,27.75757576,3105,139,283261,14982,12993,0.1
2021-06-26+14_49_26,-71,-110,-90,28,28,15,27.98364008,11801,495,1081021,17407,146,0.05675006
2021-06-26+14_49_27,-70,-99,-90,28,28,15,27.99812383,12923,536,1184538,19566,14174,0.054990859
2021-06-26+14_49_28,-70,-99,-90,28,28,15,27.9887218,12829,536,1175500,17906,11524,0.126208963
2021-06-26+14_49_29,-70,-99,-90,28,28,15,28,8295,373,760315,14617,13129,0.018110795
2021-06-26+14_49_30,-70,-99,-90,28,28,15,27.99844237,15634,646,1432974,19704,12184,0.0748565
2021-06-26+14_49_31,-70,-99,-90,28,28,15,27.995,14452,603,1324850,20895,12457,0.08159634
2021-06-26+14_49_34,-70,-99,-90,28,28,15,27.83646617,12748,545,1165797,29426,14243,0.026721637
2021-06-26+14_49_35,-70,-99,-90,28,28,15,28,4095,176,374303,12973,13120,0.018926689
2021-06-26+14_49_36,-70,-99,-90,28,28,15,27.99723757,17539,727,1607823,21708,11715,0.009879192
2021-06-26+14_49_37,-70,-99,-90,28,28,15,27.98177083,9289,389,850844,16516,12547,0.014638803
2021-06-26+14_49_38,-70,-103,-90,28,28,15,27.98351648,8828,369,808605,18367,13490,0.042412409
2021-06-26+14_49_39,-70,-103,-90,28,28,15,27.99595687,18034,745,1653200,5484,11868,0.023394346
2021-06-26+14_49_40,-70,-103,-90,28,28,15,27.99481865,14013,582,1284521,13156,13255,0.081536344
