data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-23+21_38_39,-69,-87,-103,28,28,15,28,24147,989,2214324,11871,0,0.011260339
2021-06-23+21_38_40,-69,-87,-103,28,28,15,28,24053,985,2205684,10970,0,0.015351236
2021-06-23+21_44_06,-70,-89,-103,28,28,15,28,18415,759,1688439,5819,0,0.032215682
2021-06-23+21_44_07,-70,-89,-103,28,28,15,27.92847318,17584,731,1611334,7222,0,0.016224684
2021-06-23+21_44_08,-70,-89,-103,28,28,15,28,14923,617,1367825,14256,0,0.034297547
2021-06-23+21_44_09,-70,-108,-103,28,28,15,27.99321267,10732,447,983067,22243,0,0.025603777
2021-06-23+21_44_10,-70,-106,-103,28,28,15,27.93968872,12437,519,1139448,24299,0,0.009398646
2021-06-23+21_44_11,-70,-106,-103,28,28,15,27.75889328,12108,510,1108618,26642,0,0.013363755
2021-06-23+21_44_12,-70,-96,-103,28,28,15,28,10703,444,980403,26695,0,0.016087516
2021-06-23+21_44_13,-70,-102,-103,28,28,15,27.79710145,1618,77,146893,24343,0,0.002466091
2021-06-23+21_44_14,-69,-103,-103,28,28,15,27.98383838,12022,500,1101404,24560,0,0.008740106
2021-06-23+21_44_15,-69,-99,-103,28,28,15,27.92673993,13230,549,1212275,26523,0,0.028277635
2021-06-23+21_44_16,-69,-94,-103,28,28,15,28,11726,487,1074544,24175,0,0.013710152
2021-06-23+21_44_17,-69,-90,-103,28,28,15,28,11787,488,1079990,26982,0,0.014794383
2021-06-23+21_44_18,-69,-90,-103,28,28,15,28,9505,398,870611,18766,0,0.028118609
2021-06-23+21_44_19,-68,-88,-103,28,28,15,27.9930192,13906,577,1274377,24484,0,0.006217394
2021-06-23+21_44_20,-68,-100,-103,28,28,15,27.53072626,4145,186,378121,26858,0,0.046029919
2021-06-23+21_44_23,-68,-94,-103,28,28,15,27.98997996,24148,1008,2212473,35912,0,0.013279941
2021-06-23+21_44_24,-68,-94,-103,28,28,15,27.99186992,11979,496,1097644,26842,0,0.022601175
2021-06-23+21_44_25,-68,-101,-103,28,28,15,28,13917,575,1275755,24488,0,0.005360206
2021-06-23+21_44_26,-68,-101,-103,28,28,15,27.98558187,23651,972,2168549,24748,0,0.02826739
2021-06-23+21_44_27,-68,-92,-103,28,28,15,27.99481865,14002,582,1283476,21451,0,0.011925764
2021-06-23+21_44_28,-69,-89,-103,28,28,15,27.86738351,6699,286,612536,22062,0,0.028989709
2021-06-23+21_44_29,-69,-89,-103,28,28,15,27.96428571,6704,286,613528,16855,0,0.018304291
