dataTime,pcelRsrp,ncell1Rsrp,ncell2Rsrp,mcs1Dl,mcs2Dl,wbCqi,mcs2dl_ave,prb_used_pcell,pdu_used,tbs_used,prb_used_ncell1,prb_used_ncell2,prb_retxrate
2021-06-13+17_26_10,-71,-90,-92,28,28,15,27.92473118,3180,196,291169,0,9580,0.16557334
2021-06-13+17_26_11,-71,-90,-92,28,28,15,28,2424,149,221569,0,11194,0.262997872
2021-06-13+17_26_12,-71,-91,-92,28,28,15,27.88888889,2791,169,255606,0,8080,0.229643941
2021-06-13+17_26_13,-71,-88,-92,28,28,15,27.93103448,3446,212,315857,0,11826,0.173026158
2021-06-13+17_26_14,-71,-91,-92,28,28,15,28,3437,210,315202,0,13252,0.170007245
2021-06-13+17_26_15,-71,-91,-92,28,28,15,28,2088,126,190961,0,16100,0.274496178
2021-06-13+17_26_16,-71,-89,-92,28,28,15,28,2556,154,233961,0,12351,0.242890995
2021-06-13+17_26_17,-71,-92,-92,28,28,15,28,3312,204,303670,0,8194,0.191998048
2021-06-13+17_26_18,-71,-94,-92,28,28,15,28,2754,171,252175,0,17781,0.272775284
2021-06-13+17_26_19,-71,-91,-92,28,28,15,28,5957,356,547305,0,19982,0.061150512
2021-06-13+17_26_20,-71,-89,-92,28,28,15,27.95052083,6501,389,597914,0,16896,0.073799687
2021-06-13+17_26_21,-71,-89,-92,28,28,15,28,9366,557,861782,0,24636,0.022031952
2021-06-13+17_26_22,-71,-89,-92,28,28,15,28,12402,743,1141960,0,21685,0.01242236
2021-06-13+17_26_23,-71,-89,-92,28,28,15,28,10792,648,994136,0,23084,0.027747748
2021-06-13+17_26_24,-71,-89,-92,28,28,15,27.98965071,13192,779,1214236,0,17306,0.04371149
2021-06-13+17_26_25,-71,-90,-92,28,28,15,27.94259259,9191,548,845466,0,11603,0.088827203
2021-06-13+17_26_26,-71,-89,-92,28,28,15,28,3329,207,305247,0,7592,0.209826727
2021-06-13+17_26_27,-71,-89,-92,28,28,15,28,2726,166,249811,0,5861,0.199412628
2021-06-13+17_26_30,-71,-88,-92,28,28,15,27.96761134,4275,265,390625,0,12081,0.286191351
2021-06-13+17_26_31,-71,-93,-92,28,28,15,28,2629,164,240955,0,1181,0.257554363
2021-06-13+17_26_32,-71,-92,-92,28,28,15,28,2782,172,254802,0,10072,0.28057926
2021-06-13+17_26_33,-71,-97,-92,28,28,15,28,2711,167,248667,0,8167,0.197216464
2021-06-13+17_26_34,-71,-91,-92,28,28,15,28,2765,172,253308,0,9134,0.198085847
2021-06-13+17_26_35,-71,-87,-92,28,28,15,28,2134,130,195063,0,13581,0.280026991
2021-06-13+17_26_36,-71,-89,-92,28,28,15,27.82978723,1599,102,145810,0,1722,0.376121732
2021-06-13+17_26_37,-71,-92,-92,28,28,15,28,2483,153,226859,0,11531,0.24551808
2021-06-13+17_26_38,-71,-92,-92,28,28,15,28,2170,132,198450,0,11999,0.228855721
2021-06-13+17_26_39,-71,-89,-92,28,28,15,28,3064,184,281101,0,7596,0.273589379
2021-06-13+17_26_40,-71,-107,-92,28,28,15,28,3430,206,314537,0,7062,0.262841178
2021-06-13+17_26_41,-71,-92,-92,28,28,15,28,2435,150,222987,0,12787,0.200065703
2021-06-13+17_26_42,-71,-92,-92,28,28,15,28,2655,167,243218,0,66,0.259827154
2021-06-13+17_26_43,-71,-90,-92,28,28,15,28,2365,146,216560,0,12555,0.216628023
2021-06-13+17_26_44,-71,-99,-92,28,28,15,28,3047,184,279134,0,13052,0.183985003
2021-06-13+17_26_45,-71,-98,-92,28,28,15,28,3260,196,298627,0,12326,0.151262692
